id;titulo;preco;endereco;detalhes;descricao;link;tamanho;quartos;vagas;suites;plantas;data_extracao
17;"Quadra 202, SUL, AGUAS CLARAS";NULL;N/A;"317 m²
4 Quartos
4 Suítes
4 Vagas";"COBERTURA DUPLEX, 317M², 4 SUÍTES, RESIDENCIAL SONETO HOME E RESORT, ÁGUAS CLARAS";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-quadra-202-996394;317;4;4;4;;"2025-04-02 23:03:45"
18;"Avenida Sibipiruna, SUL, AGUAS CLARAS";NULL;N/A;"275 m²
4 Quartos
4 Suítes
5 Vagas";"APARTAMENTO 4 QUARTOS PARA VENDA ÁGUAS CLARAS, BRASÍLIA";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-avenida-sibipiruna-1101879;275;4;5;4;;"2025-04-02 23:03:45"
19;"Quadra 206, SUL, AGUAS CLARAS";NULL;N/A;"284 m²
4 Quartos
4 Suítes
4 Vagas";"QUADRA 206 ED. SAGITARIUS - IMÓVEL NASCENTE!!";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-quadra-206-755376;284;4;4;4;;"2025-04-02 23:03:45"
20;"Quadra 210, SUL, AGUAS CLARAS";NULL;N/A;"284 m²
4 Quartos
4 Suítes
3 Vagas";"APARTAMENTO COM 4 QUARTOS 4 SUITES E 3 VAGAS DE GARAGEM";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-quadra-210-1070590;284;4;3;4;;"2025-04-02 23:03:45"
21;"Rua 25, SUL, AGUAS CLARAS";NULL;N/A;"265 m²
4 Quartos
4 Suítes
3 Vagas";", RESIDENCIAL LE CIEL OPORTUNIDADE ÚNICA: LINDA COBERTURA LINEAR REFORMADA";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-rua-25-1014619;265;4;3;4;;"2025-04-02 23:03:45"
22;"Quadra 206, SUL, AGUAS CLARAS";NULL;N/A;"283 m²
4 Quartos
4 Suítes
3 Vagas";"SAGITTARIUS RESIDENCIAL RESORT CONDOMÍNIO LUXUOSO! EXCLUSIVO! APARTAMENTO EM QUADRA RESIDENCIAL";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-quadra-206-1087105;283;4;3;4;;"2025-04-02 23:03:45"
23;"Quadra 204, SUL, AGUAS CLARAS";NULL;N/A;"205 m²
4 Quartos
4 Suítes
4 Vagas";"QUATTRO MIRANTE, BLOCO A, 202M², 4QTS SUÍTES, ANDAR ALTO, 4 VAGAS.";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-quadra-204-1122377;205;4;4;4;;"2025-04-02 23:03:45"
24;"Rua 5, SUL, AGUAS CLARAS";NULL;N/A;"298 m²
4 Quartos
4 Suítes
4 Vagas";", COSTA DO SOL ELEGANT SUÍTES";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-rua-5-1082597;298;4;4;4;;"2025-04-02 23:03:45"
25;"Avenida Sibipiruna, SUL, AGUAS CLARAS";NULL;N/A;"283 m²
4 Quartos
4 Suítes
5 Vagas";"RESIDENCIAL PARK BOULEVARD, 283M², 4 SUITES";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-avenida-sibipiruna-1005060;283;4;5;4;;"2025-04-02 23:03:45"
26;"Quadra 202, SUL, AGUAS CLARAS";NULL;N/A;"198 m²
4 Quartos
4 Suítes
3 Vagas";"VENHA MORAR EM UM DOS MELHORES CONDOMÍNIOS DE AGUAS CLARAS!3 VAGAS DE GARAGEM 4 SUÍTES! RESIDENCIAL";https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-venda-sul-aguas-claras-df-quadra-202-1133738;198;4;3;4;;"2025-04-02 23:03:45"
