cod,sigla,valor,periodo
27,AL,642,1997-01-15
50,MS,729,1997-01-15
17,TO,112,1997-01-15
15,PA,754,1997-01-15
16,AP,140,1997-01-15
52,GO,744,1997-01-15
25,PB,492,1997-01-15
53,DF,613,1997-01-15
11,RO,355,1997-01-15
29,BA,1981,1997-01-15
42,SC,423,1997-01-15
51,MT,766,1997-01-15
24,RN,235,1997-01-15
28,SE,190,1997-01-15
35,SP,12537,1997-01-15
22,PI,142,1997-01-15
13,AM,468,1997-01-15
32,ES,1416,1997-01-15
23,CE,1026,1997-01-15
21,MA,333,1997-01-15
12,AC,100,1997-01-15
17,TO,129,1998-01-15
43,RS,1524,1998-01-15
25,PB,455,1998-01-15
22,PI,140,1998-01-15
52,GO,704,1998-01-15
28,SE,175,1998-01-15
35,SP,13986,1998-01-15
21,MA,278,1998-01-15
31,MG,1511,1998-01-15
15,PA,774,1998-01-15
50,MS,670,1998-01-15
33,RJ,7573,1998-01-15
14,RR,134,1998-01-15
41,PR,1625,1998-01-15
24,RN,222,1998-01-15
23,CE,946,1998-01-15
32,ES,1675,1998-01-15
13,AM,534,1998-01-15
26,PE,4423,1998-01-15
11,RO,494,1998-01-15
27,AL,582,1998-01-15
29,BA,1271,1998-01-15
51,MT,832,1998-01-15
16,AP,160,1998-01-15
53,DF,633,1998-01-15
42,SC,414,1998-01-15
12,AC,110,1998-01-15
22,PI,133,1999-01-15
13,AM,527,1999-01-15
43,RS,1533,1999-01-15
35,SP,15763,1999-01-15
28,SE,329,1999-01-15
52,GO,853,1999-01-15
26,PE,4217,1999-01-15
24,RN,224,1999-01-15
12,AC,51,1999-01-15
16,AP,192,1999-01-15
15,PA,642,1999-01-15
29,BA,913,1999-01-15
50,MS,571,1999-01-15
25,PB,403,1999-01-15
11,RO,432,1999-01-15
23,CE,1104,1999-01-15
33,RJ,7261,1999-01-15
14,RR,154,1999-01-15
27,AL,554,1999-01-15
31,MG,1596,1999-01-15
21,MA,262,1999-01-15
53,DF,659,1999-01-15
41,PR,1706,1999-01-15
42,SC,385,1999-01-15
51,MT,822,1999-01-15
17,TO,137,1999-01-15
32,ES,1524,1999-01-15
52,GO,1085,2000-01-15
17,TO,176,2000-01-15
16,AP,156,2000-01-15
33,RJ,7350,2000-01-15
43,RS,1668,2000-01-15
35,SP,15591,2000-01-15
15,PA,806,2000-01-15
31,MG,2109,2000-01-15
50,MS,651,2000-01-15
14,RR,130,2000-01-15
41,PR,1789,2000-01-15
13,AM,552,2000-01-15
29,BA,1242,2000-01-15
51,MT,990,2000-01-15
12,AC,106,2000-01-15
42,SC,433,2000-01-15
25,PB,507,2000-01-15
27,AL,727,2000-01-15
22,PI,230,2000-01-15
28,SE,410,2000-01-15
24,RN,257,2000-01-15
53,DF,687,2000-01-15
23,CE,1238,2000-01-15
11,RO,466,2000-01-15
21,MA,352,2000-01-15
32,ES,1435,2000-01-15
26,PE,4290,2000-01-15
42,SC,477,2001-01-15
12,AC,121,2001-01-15
51,MT,973,2001-01-15
27,AL,830,2001-01-15
32,ES,1452,2001-01-15
29,BA,1622,2001-01-15
13,AM,485,2001-01-15
41,PR,2052,2001-01-15
14,RR,108,2001-01-15
16,AP,182,2001-01-15
23,CE,1284,2001-01-15
53,DF,693,2001-01-15
11,RO,573,2001-01-15
35,SP,15773,2001-01-15
50,MS,621,2001-01-15
21,MA,563,2001-01-15
33,RJ,7362,2001-01-15
31,MG,2366,2001-01-15
15,PA,966,2001-01-15
26,PE,4710,2001-01-15
28,SE,518,2001-01-15
17,TO,212,2001-01-15
52,GO,1167,2001-01-15
24,RN,322,2001-01-15
43,RS,1854,2001-01-15
22,PI,262,2001-01-15
25,PB,484,2001-01-15
25,PB,607,2002-01-15
53,DF,641,2002-01-15
52,GO,1370,2002-01-15
51,MT,948,2002-01-15
50,MS,684,2002-01-15
43,RS,1912,2002-01-15
32,ES,1644,2002-01-15
31,MG,2994,2002-01-15
29,BA,1759,2002-01-15
28,SE,556,2002-01-15
27,AL,991,2002-01-15
26,PE,4396,2002-01-15
23,CE,1445,2002-01-15
22,PI,308,2002-01-15
21,MA,606,2002-01-15
42,SC,585,2002-01-15
41,PR,2266,2002-01-15
