cod,sigla,valor,periodo,ano
5218003,Porangatu,8,2023-01-15,2023
5218052,Porteirão,2,2023-01-15,2023
5218300,Posse,14,2023-01-15,2023
5218508,Quirinópolis,22,2023-01-15,2023
5218607,Rialma,1,2023-01-15,2023
5218789,Rio Quente,1,2023-01-15,2023
5218805,Rio Verde,32,2023-01-15,2023
5218904,Rubiataba,5,2023-01-15,2023
5221601,Uruaçu,6,2023-01-15,2023
5219100,Santa Bárbara de Goiás,1,2023-01-15,2023
5219209,Santa Cruz de Goiás,1,2023-01-15,2023
5219308,Santa Helena de Goiás,7,2023-01-15,2023
5219407,Santa Rita do Araguaia,2,2023-01-15,2023
5219456,Santa Rita do Novo Destino,1,2023-01-15,2023
5219605,Santa Tereza de Goiás,2,2023-01-15,2023
5219704,Santa Terezinha de Goiás,4,2023-01-15,2023
5219712,Santo Antônio da Barra,1,2023-01-15,2023
5221858,Valparaíso de Goiás,38,2023-01-15,2023
5219753,Santo Antônio do Descoberto,18,2023-01-15,2023
5219902,São Francisco de Goiás,2,2023-01-15,2023
5220009,São João d'Aliança,1,2023-01-15,2023
5220108,São Luís de Montes Belos,5,2023-01-15,2023
5220157,São Luíz do Norte,2,2023-01-15,2023
5220207,São Miguel do Araguaia,8,2023-01-15,2023
5220405,São Simão,4,2023-01-15,2023
5220454,Senador Canedo,36,2023-01-15,2023
5220504,Serranópolis,6,2023-01-15,2023
5220603,Silvânia,1,2023-01-15,2023
5220686,Simolândia,3,2023-01-15,2023
5221809,Urutaí,2,2023-01-15,2023
5221197,Terezópolis de Goiás,1,2023-01-15,2023
5221403,Trindade,48,2023-01-15,2023
5221700,Uruana,4,2023-01-15,2023
5221452,Trombas,1,2023-01-15,2023
